[2025-11-19T06:55:38.760+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-11-19T06:56:21.854+0000] {subprocess.py:93} INFO - Added amber-202001-0154
[2025-11-19T06:56:21.855+0000] {subprocess.py:93} INFO - Added amber-202001-0155
[2025-11-19T06:56:21.855+0000] {subprocess.py:93} INFO - Added amber-202001-0127
[2025-11-19T06:56:21.855+0000] {subprocess.py:93} INFO - Added amber-202001-0128
[2025-11-19T06:56:21.856+0000] {subprocess.py:93} INFO - Added amber-202001-0129
[2025-11-19T06:56:21.856+0000] {subprocess.py:93} INFO - Added amber-202001-0137
[2025-11-19T06:56:21.856+0000] {subprocess.py:93} INFO - Added amber-202001-0138
[2025-11-19T06:56:21.857+0000] {subprocess.py:93} INFO - Added amber-202001-0130
[2025-11-19T06:56:21.857+0000] {subprocess.py:93} INFO - Added amber-202001-0177
[2025-11-19T06:56:21.857+0000] {subprocess.py:93} INFO - Added amber-202001-0131
[2025-11-19T06:56:21.857+0000] {subprocess.py:93} INFO - Added amber-202001-0134
[2025-11-19T06:56:21.857+0000] {subprocess.py:93} INFO - Added amber-202001-0136
[2025-11-19T06:56:21.858+0000] {subprocess.py:93} INFO - Added amber-202001-0146
[2025-11-19T06:56:21.858+0000] {subprocess.py:93} INFO - Added amber-202001-0135
[2025-11-19T06:56:21.858+0000] {subprocess.py:93} INFO - Added amber-202001-0132
[2025-11-19T06:56:21.858+0000] {subprocess.py:93} INFO - Added amber-202001-0142
[2025-11-19T06:56:21.858+0000] {subprocess.py:93} INFO - Added amber-202001-0133
[2025-11-19T06:56:21.859+0000] {subprocess.py:93} INFO - Added amber-202001-0141
[2025-11-19T06:56:21.859+0000] {subprocess.py:93} INFO - Added amber-202001-0145
[2025-11-19T06:56:21.859+0000] {subprocess.py:93} INFO - Added amber-202001-0147
[2025-11-19T06:56:21.859+0000] {subprocess.py:93} INFO - Added amber-202001-0148
[2025-11-19T06:56:21.859+0000] {subprocess.py:93} INFO - Added amber-202001-0150
[2025-11-19T06:56:21.860+0000] {subprocess.py:93} INFO - Added amber-202001-0149
[2025-11-19T06:56:21.860+0000] {subprocess.py:93} INFO - Added amber-202001-0151
[2025-11-19T06:56:21.860+0000] {subprocess.py:93} INFO - Added amber-202001-0152
[2025-11-19T06:56:21.861+0000] {subprocess.py:93} INFO - Added amber-202001-0153
[2025-11-19T06:56:21.861+0000] {subprocess.py:93} INFO - Added amber-202001-0156
[2025-11-19T06:56:21.861+0000] {subprocess.py:93} INFO - Added amber-202001-0157
[2025-11-19T06:56:21.861+0000] {subprocess.py:93} INFO - Added amber-202001-0159
[2025-11-19T06:56:21.861+0000] {subprocess.py:93} INFO - Added amber-202001-0192
[2025-11-19T06:56:21.861+0000] {subprocess.py:93} INFO - Added amber-202001-0193
[2025-11-19T06:56:21.862+0000] {subprocess.py:93} INFO - Added amber-202001-0194
[2025-11-19T06:56:21.862+0000] {subprocess.py:93} INFO - Added amber-202001-0196
[2025-11-19T06:56:21.862+0000] {subprocess.py:93} INFO - Added amber-202001-0200
[2025-11-19T06:56:21.863+0000] {subprocess.py:93} INFO - Added amber-202001-0201
[2025-11-19T06:56:21.863+0000] {subprocess.py:93} INFO - Added amber-202001-0158
[2025-11-19T06:56:21.863+0000] {subprocess.py:93} INFO - Added amber-202001-0160
[2025-11-19T06:56:21.864+0000] {subprocess.py:93} INFO - Added amber-202001-0163
[2025-11-19T06:56:21.864+0000] {subprocess.py:93} INFO - Added amber-202001-0164
[2025-11-19T06:56:21.865+0000] {subprocess.py:93} INFO - Added amber-202001-0165
[2025-11-19T06:56:21.865+0000] {subprocess.py:93} INFO - Added amber-202001-0166
[2025-11-19T06:56:21.866+0000] {subprocess.py:93} INFO - Added amber-202001-0168
[2025-11-19T06:56:21.866+0000] {subprocess.py:93} INFO - Added amber-202001-0174
[2025-11-19T06:56:21.867+0000] {subprocess.py:93} INFO - Added amber-202001-0197
[2025-11-19T06:56:21.867+0000] {subprocess.py:93} INFO - Added amber-202001-0198
[2025-11-19T06:56:21.867+0000] {subprocess.py:93} INFO - Added amber-202001-0199
[2025-11-19T06:56:21.868+0000] {subprocess.py:93} INFO - Added amber-202001-0161
[2025-11-19T06:56:21.868+0000] {subprocess.py:93} INFO - Added amber-202001-0171
[2025-11-19T06:56:21.868+0000] {subprocess.py:93} INFO - Added amber-202001-0162
[2025-11-19T06:56:21.869+0000] {subprocess.py:93} INFO - Added amber-202001-0215
[2025-11-19T06:56:21.869+0000] {subprocess.py:93} INFO - Added amber-202001-0167
[2025-11-19T06:56:21.870+0000] {subprocess.py:93} INFO - Added amber-202001-0169
[2025-11-19T06:56:21.870+0000] {subprocess.py:93} INFO - Added amber-202001-0170
[2025-11-19T06:56:21.870+0000] {subprocess.py:93} INFO - Added amber-202001-0173
[2025-11-19T06:56:21.871+0000] {subprocess.py:93} INFO - Added amber-202001-0175
[2025-11-19T06:56:21.871+0000] {subprocess.py:93} INFO - Added amber-202001-0189
[2025-11-19T06:56:21.872+0000] {subprocess.py:93} INFO - Added amber-202001-0213
[2025-11-19T06:56:21.872+0000] {subprocess.py:93} INFO - Added amber-202001-0221
[2025-11-19T06:56:21.872+0000] {subprocess.py:93} INFO - Added amber-202001-0172
[2025-11-19T06:56:21.873+0000] {subprocess.py:93} INFO - Added amber-202001-0176
[2025-11-19T06:56:21.873+0000] {subprocess.py:93} INFO - Added amber-202001-0178
[2025-11-19T06:56:21.874+0000] {subprocess.py:93} INFO - Added amber-202001-0183
[2025-11-19T06:56:21.874+0000] {subprocess.py:93} INFO - Added amber-202001-0179
[2025-11-19T06:56:21.875+0000] {subprocess.py:93} INFO - Added amber-202001-0184
[2025-11-19T06:56:21.875+0000] {subprocess.py:93} INFO - Added amber-202001-0180
[2025-11-19T06:56:21.875+0000] {subprocess.py:93} INFO - Added amber-202001-0181
[2025-11-19T06:56:21.876+0000] {subprocess.py:93} INFO - Added amber-202001-0182
[2025-11-19T06:56:21.876+0000] {subprocess.py:93} INFO - Added amber-202001-0186
[2025-11-19T06:56:21.877+0000] {subprocess.py:93} INFO - Added amber-202001-0190
[2025-11-19T06:56:21.877+0000] {subprocess.py:93} INFO - Added amber-202001-0228
[2025-11-19T06:56:21.877+0000] {subprocess.py:93} INFO - Added amber-202001-0242
[2025-11-19T06:56:21.878+0000] {subprocess.py:93} INFO - Added amber-202001-0185
[2025-11-19T06:56:21.878+0000] {subprocess.py:93} INFO - Added amber-202001-0195
[2025-11-19T06:56:21.879+0000] {subprocess.py:93} INFO - Added amber-202001-0260
[2025-11-19T06:56:21.879+0000] {subprocess.py:93} INFO - Added amber-202001-0187
[2025-11-19T06:56:21.879+0000] {subprocess.py:93} INFO - Added amber-202001-0188
[2025-11-19T06:56:21.880+0000] {subprocess.py:93} INFO - Added amber-202001-0191
[2025-11-19T06:56:21.880+0000] {subprocess.py:93} INFO - Added amber-202001-0202
[2025-11-19T06:56:21.880+0000] {subprocess.py:93} INFO - Added amber-202001-0203
[2025-11-19T06:56:21.880+0000] {subprocess.py:93} INFO - Added amber-202001-0223
[2025-11-19T06:56:21.880+0000] {subprocess.py:93} INFO - Added amber-202001-0244
[2025-11-19T06:56:21.881+0000] {subprocess.py:93} INFO - Added amber-202001-0249
[2025-11-19T06:56:21.881+0000] {subprocess.py:93} INFO - Added amber-202001-0204
[2025-11-19T06:56:21.881+0000] {subprocess.py:93} INFO - Added amber-202001-0205
[2025-11-19T06:56:21.881+0000] {subprocess.py:93} INFO - Added amber-202001-0206
[2025-11-19T06:56:21.882+0000] {subprocess.py:93} INFO - Added amber-202001-0211
[2025-11-19T06:56:21.882+0000] {subprocess.py:93} INFO - Added amber-202001-0218
[2025-11-19T06:56:21.882+0000] {subprocess.py:93} INFO - Added amber-202001-0207
[2025-11-19T06:56:21.882+0000] {subprocess.py:93} INFO - Added amber-202001-0214
[2025-11-19T06:56:21.882+0000] {subprocess.py:93} INFO - Added amber-202001-0224
[2025-11-19T06:56:21.883+0000] {subprocess.py:93} INFO - Added amber-202001-0208
[2025-11-19T06:56:21.883+0000] {subprocess.py:93} INFO - Added amber-202001-0209
[2025-11-19T06:56:21.883+0000] {subprocess.py:93} INFO - Added amber-202001-0212
[2025-11-19T06:56:21.884+0000] {subprocess.py:93} INFO - Added amber-202001-0210
[2025-11-19T06:56:21.884+0000] {subprocess.py:93} INFO - Added amber-202001-0216
[2025-11-19T06:56:21.884+0000] {subprocess.py:93} INFO - Added amber-202001-0217
[2025-11-19T06:56:21.885+0000] {subprocess.py:93} INFO - Added amber-202001-0220
[2025-11-19T06:56:21.885+0000] {subprocess.py:93} INFO - Added amber-202001-0227
[2025-11-19T06:56:21.885+0000] {subprocess.py:93} INFO - Added amber-202001-0219
[2025-11-19T06:56:21.885+0000] {subprocess.py:93} INFO - Added amber-202001-0222
[2025-11-19T06:56:21.885+0000] {subprocess.py:93} INFO - Added amber-202001-0225
[2025-11-19T06:56:21.885+0000] {subprocess.py:93} INFO - Added amber-202001-0226
[2025-11-19T06:56:21.886+0000] {subprocess.py:93} INFO - Added amber-202001-0278
[2025-11-19T06:56:21.886+0000] {subprocess.py:93} INFO - Added amber-202001-0288
[2025-11-19T06:56:21.886+0000] {subprocess.py:93} INFO - Added amber-202001-0229
[2025-11-19T06:56:21.886+0000] {subprocess.py:93} INFO - Added amber-202001-0246
[2025-11-19T06:56:21.886+0000] {subprocess.py:93} INFO - Added amber-202001-0230
