[2025-11-14T07:46:29.332+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-11-14T07:46:53.398+0000] {subprocess.py:93} INFO - Added amber-202001-0192
[2025-11-14T07:46:53.399+0000] {subprocess.py:93} INFO - Added amber-202001-0193
[2025-11-14T07:46:53.399+0000] {subprocess.py:93} INFO - Added amber-202001-0194
[2025-11-14T07:46:53.400+0000] {subprocess.py:93} INFO - Added amber-202001-0196
[2025-11-14T07:46:53.400+0000] {subprocess.py:93} INFO - Added amber-202001-0200
[2025-11-14T07:46:53.401+0000] {subprocess.py:93} INFO - Added amber-202001-0201
[2025-11-14T07:46:53.401+0000] {subprocess.py:93} INFO - Added amber-202001-0158
[2025-11-14T07:46:53.402+0000] {subprocess.py:93} INFO - Added amber-202001-0160
[2025-11-14T07:46:53.402+0000] {subprocess.py:93} INFO - Added amber-202001-0163
[2025-11-14T07:46:53.403+0000] {subprocess.py:93} INFO - Added amber-202001-0164
[2025-11-14T07:46:53.403+0000] {subprocess.py:93} INFO - Added amber-202001-0165
[2025-11-14T07:46:53.403+0000] {subprocess.py:93} INFO - Added amber-202001-0166
[2025-11-14T07:46:53.404+0000] {subprocess.py:93} INFO - Added amber-202001-0168
[2025-11-14T07:46:53.404+0000] {subprocess.py:93} INFO - Added amber-202001-0174
[2025-11-14T07:46:53.405+0000] {subprocess.py:93} INFO - Added amber-202001-0197
[2025-11-14T07:46:53.405+0000] {subprocess.py:93} INFO - Added amber-202001-0198
[2025-11-14T07:46:53.406+0000] {subprocess.py:93} INFO - Added amber-202001-0199
[2025-11-14T07:46:53.406+0000] {subprocess.py:93} INFO - Added amber-202001-0161
[2025-11-14T07:46:53.407+0000] {subprocess.py:93} INFO - Added amber-202001-0171
[2025-11-14T07:46:53.408+0000] {subprocess.py:93} INFO - Added amber-202001-0162
[2025-11-14T07:46:53.408+0000] {subprocess.py:93} INFO - Added amber-202001-0215
[2025-11-14T07:46:53.408+0000] {subprocess.py:93} INFO - Added amber-202001-0167
[2025-11-14T07:46:53.409+0000] {subprocess.py:93} INFO - Added amber-202001-0169
[2025-11-14T07:46:53.409+0000] {subprocess.py:93} INFO - Added amber-202001-0170
[2025-11-14T07:46:53.410+0000] {subprocess.py:93} INFO - Added amber-202001-0173
[2025-11-14T07:46:53.410+0000] {subprocess.py:93} INFO - Added amber-202001-0175
[2025-11-14T07:46:53.410+0000] {subprocess.py:93} INFO - Added amber-202001-0189
[2025-11-14T07:46:53.411+0000] {subprocess.py:93} INFO - Added amber-202001-0213
[2025-11-14T07:46:53.411+0000] {subprocess.py:93} INFO - Added amber-202001-0221
[2025-11-14T07:46:53.412+0000] {subprocess.py:93} INFO - Added amber-202001-0172
[2025-11-14T07:46:53.412+0000] {subprocess.py:93} INFO - Added amber-202001-0176
[2025-11-14T07:46:53.413+0000] {subprocess.py:93} INFO - Added amber-202001-0178
[2025-11-14T07:46:53.413+0000] {subprocess.py:93} INFO - Added amber-202001-0183
[2025-11-14T07:46:53.414+0000] {subprocess.py:93} INFO - Added amber-202001-0179
[2025-11-14T07:46:53.414+0000] {subprocess.py:93} INFO - Added amber-202001-0184
[2025-11-14T07:46:53.414+0000] {subprocess.py:93} INFO - Added amber-202001-0180
[2025-11-14T07:46:53.415+0000] {subprocess.py:93} INFO - Added amber-202001-0181
[2025-11-14T07:46:53.415+0000] {subprocess.py:93} INFO - Added amber-202001-0182
[2025-11-14T07:46:53.415+0000] {subprocess.py:93} INFO - Added amber-202001-0186
[2025-11-14T07:46:53.416+0000] {subprocess.py:93} INFO - Added amber-202001-0190
[2025-11-14T07:46:53.416+0000] {subprocess.py:93} INFO - Added amber-202001-0228
[2025-11-14T07:46:53.416+0000] {subprocess.py:93} INFO - Added amber-202001-0242
[2025-11-14T07:46:53.416+0000] {subprocess.py:93} INFO - Added amber-202001-0185
[2025-11-14T07:46:53.417+0000] {subprocess.py:93} INFO - Added amber-202001-0195
[2025-11-14T07:46:53.417+0000] {subprocess.py:93} INFO - Added amber-202001-0260
[2025-11-14T07:46:53.417+0000] {subprocess.py:93} INFO - Added amber-202001-0187
[2025-11-14T07:46:53.418+0000] {subprocess.py:93} INFO - Added amber-202001-0188
[2025-11-14T07:46:53.418+0000] {subprocess.py:93} INFO - Added amber-202001-0191
[2025-11-14T07:46:53.419+0000] {subprocess.py:93} INFO - Added amber-202001-0202
[2025-11-14T07:46:53.419+0000] {subprocess.py:93} INFO - Added amber-202001-0203
[2025-11-14T07:46:53.420+0000] {subprocess.py:93} INFO - Added amber-202001-0223
[2025-11-14T07:46:53.420+0000] {subprocess.py:93} INFO - Added amber-202001-0244
[2025-11-14T07:46:53.421+0000] {subprocess.py:93} INFO - Added amber-202001-0249
[2025-11-14T07:46:53.421+0000] {subprocess.py:93} INFO - Added amber-202001-0204
[2025-11-14T07:46:53.422+0000] {subprocess.py:93} INFO - Added amber-202001-0205
[2025-11-14T07:46:53.422+0000] {subprocess.py:93} INFO - Added amber-202001-0206
[2025-11-14T07:46:53.423+0000] {subprocess.py:93} INFO - Added amber-202001-0211
[2025-11-14T07:46:53.424+0000] {subprocess.py:93} INFO - Added amber-202001-0218
[2025-11-14T07:46:53.424+0000] {subprocess.py:93} INFO - Added amber-202001-0207
[2025-11-14T07:46:53.425+0000] {subprocess.py:93} INFO - Added amber-202001-0214
[2025-11-14T07:46:53.425+0000] {subprocess.py:93} INFO - Added amber-202001-0224
[2025-11-14T07:46:53.426+0000] {subprocess.py:93} INFO - Added amber-202001-0208
[2025-11-14T07:46:53.426+0000] {subprocess.py:93} INFO - Added amber-202001-0209
[2025-11-14T07:46:53.427+0000] {subprocess.py:93} INFO - Added amber-202001-0212
[2025-11-14T07:46:53.427+0000] {subprocess.py:93} INFO - Added amber-202001-0210
[2025-11-14T07:46:53.428+0000] {subprocess.py:93} INFO - Added amber-202001-0216
[2025-11-14T07:46:53.428+0000] {subprocess.py:93} INFO - Added amber-202001-0217
[2025-11-14T07:46:53.429+0000] {subprocess.py:93} INFO - Added amber-202001-0220
[2025-11-14T07:46:53.430+0000] {subprocess.py:93} INFO - Added amber-202001-0227
[2025-11-14T07:46:53.430+0000] {subprocess.py:93} INFO - Added amber-202001-0219
[2025-11-14T07:46:53.431+0000] {subprocess.py:93} INFO - Added amber-202001-0222
[2025-11-14T07:46:53.431+0000] {subprocess.py:93} INFO - Added amber-202001-0225
[2025-11-14T07:46:53.432+0000] {subprocess.py:93} INFO - Added amber-202001-0226
[2025-11-14T07:46:53.432+0000] {subprocess.py:93} INFO - Added amber-202001-0278
[2025-11-14T07:46:53.433+0000] {subprocess.py:93} INFO - Added amber-202001-0288
[2025-11-14T07:46:53.433+0000] {subprocess.py:93} INFO - Added amber-202001-0229
[2025-11-14T07:46:53.434+0000] {subprocess.py:93} INFO - Added amber-202001-0246
[2025-11-14T07:46:53.434+0000] {subprocess.py:93} INFO - Added amber-202001-0230
[2025-11-14T07:46:53.435+0000] {subprocess.py:93} INFO - Added amber-202001-0234
[2025-11-14T07:46:53.435+0000] {subprocess.py:93} INFO - Added amber-202001-0236
[2025-11-14T07:46:53.436+0000] {subprocess.py:93} INFO - Added amber-202001-0238
[2025-11-14T07:46:53.436+0000] {subprocess.py:93} INFO - Added amber-202001-0240
[2025-11-14T07:46:53.437+0000] {subprocess.py:93} INFO - Added amber-202001-0248
[2025-11-14T07:46:53.437+0000] {subprocess.py:93} INFO - Added amber-202001-0254
[2025-11-14T07:46:53.438+0000] {subprocess.py:93} INFO - Added amber-202001-0284
[2025-11-14T07:46:53.438+0000] {subprocess.py:93} INFO - Added amber-202001-0231
[2025-11-14T07:46:53.439+0000] {subprocess.py:93} INFO - Added amber-202001-0232
[2025-11-14T07:46:53.439+0000] {subprocess.py:93} INFO - Added amber-202001-0233
[2025-11-14T07:46:53.440+0000] {subprocess.py:93} INFO - Added amber-202001-0235
[2025-11-14T07:46:53.440+0000] {subprocess.py:93} INFO - Added amber-202001-0237
[2025-11-14T07:46:53.441+0000] {subprocess.py:93} INFO - Added amber-202001-0239
[2025-11-14T07:46:53.441+0000] {subprocess.py:93} INFO - Added amber-202001-0241
[2025-11-14T07:46:53.442+0000] {subprocess.py:93} INFO - Added amber-202001-0243
[2025-11-14T07:46:53.442+0000] {subprocess.py:93} INFO - Added amber-202001-0245
[2025-11-14T07:46:53.442+0000] {subprocess.py:93} INFO - Added amber-202001-0323
[2025-11-14T07:46:53.443+0000] {subprocess.py:93} INFO - Added amber-202001-0247
[2025-11-14T07:46:53.443+0000] {subprocess.py:93} INFO - Added amber-202001-0251
[2025-11-14T07:46:53.444+0000] {subprocess.py:93} INFO - Added amber-202001-0261
[2025-11-14T07:46:53.445+0000] {subprocess.py:93} INFO - Added amber-202001-0267
[2025-11-14T07:46:53.445+0000] {subprocess.py:93} INFO - Added amber-202001-0250
[2025-11-14T07:46:53.446+0000] {subprocess.py:93} INFO - Added amber-202001-0252
[2025-11-14T07:46:53.446+0000] {subprocess.py:93} INFO - Added amber-202001-0255
[2025-11-14T07:46:53.447+0000] {subprocess.py:93} INFO - Added amber-202001-0256
[2025-11-14T07:46:53.447+0000] {subprocess.py:93} INFO - Added amber-202001-0257
[2025-11-14T07:46:53.448+0000] {subprocess.py:93} INFO - Added amber-202001-0258
[2025-11-14T07:46:53.448+0000] {subprocess.py:93} INFO - Added amber-202001-0259
[2025-11-14T07:46:53.449+0000] {subprocess.py:93} INFO - Added amber-202001-0253
[2025-11-14T07:46:53.449+0000] {subprocess.py:93} INFO - Added amber-202001-0262
[2025-11-14T07:46:53.450+0000] {subprocess.py:93} INFO - Added amber-202001-0264
[2025-11-14T07:46:53.450+0000] {subprocess.py:93} INFO - Added amber-202001-0266
[2025-11-14T07:46:53.451+0000] {subprocess.py:93} INFO - Added amber-202001-0268
[2025-11-14T07:46:53.451+0000] {subprocess.py:93} INFO - Added amber-202001-0269
[2025-11-14T07:46:53.451+0000] {subprocess.py:93} INFO - Added amber-202001-0270
[2025-11-14T07:46:53.452+0000] {subprocess.py:93} INFO - Added amber-202001-0273
[2025-11-14T07:46:53.452+0000] {subprocess.py:93} INFO - Added amber-202001-0275
[2025-11-14T07:46:53.452+0000] {subprocess.py:93} INFO - Added amber-202001-0276
[2025-11-14T07:46:53.453+0000] {subprocess.py:93} INFO - Added amber-202001-0279
[2025-11-14T07:46:53.453+0000] {subprocess.py:93} INFO - Added amber-202001-0280
[2025-11-14T07:46:53.454+0000] {subprocess.py:93} INFO - Added amber-202001-0281
[2025-11-14T07:46:53.454+0000] {subprocess.py:93} INFO - Added amber-202001-0285
