[2025-11-14T05:53:52.815+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-11-14T05:54:24.282+0000] {subprocess.py:93} INFO - Added amber-202001-0135
[2025-11-14T05:54:24.282+0000] {subprocess.py:93} INFO - Added amber-202001-0132
[2025-11-14T05:54:24.283+0000] {subprocess.py:93} INFO - Added amber-202001-0142
[2025-11-14T05:54:24.283+0000] {subprocess.py:93} INFO - Added amber-202001-0133
[2025-11-14T05:54:24.283+0000] {subprocess.py:93} INFO - Added amber-202001-0141
[2025-11-14T05:54:24.284+0000] {subprocess.py:93} INFO - Added amber-202001-0145
[2025-11-14T05:54:24.284+0000] {subprocess.py:93} INFO - Added amber-202001-0147
[2025-11-14T05:54:24.285+0000] {subprocess.py:93} INFO - Added amber-202001-0148
[2025-11-14T05:54:24.285+0000] {subprocess.py:93} INFO - Added amber-202001-0150
[2025-11-14T05:54:24.285+0000] {subprocess.py:93} INFO - Added amber-202001-0149
[2025-11-14T05:54:24.286+0000] {subprocess.py:93} INFO - Added amber-202001-0151
[2025-11-14T05:54:24.286+0000] {subprocess.py:93} INFO - Added amber-202001-0152
[2025-11-14T05:54:24.287+0000] {subprocess.py:93} INFO - Added amber-202001-0153
[2025-11-14T05:54:24.287+0000] {subprocess.py:93} INFO - Added amber-202001-0156
[2025-11-14T05:54:24.288+0000] {subprocess.py:93} INFO - Added amber-202001-0157
[2025-11-14T05:54:24.288+0000] {subprocess.py:93} INFO - Added amber-202001-0159
[2025-11-14T05:54:24.289+0000] {subprocess.py:93} INFO - Added amber-202001-0192
[2025-11-14T05:54:24.290+0000] {subprocess.py:93} INFO - Added amber-202001-0193
[2025-11-14T05:54:24.290+0000] {subprocess.py:93} INFO - Added amber-202001-0194
[2025-11-14T05:54:24.291+0000] {subprocess.py:93} INFO - Added amber-202001-0196
[2025-11-14T05:54:24.291+0000] {subprocess.py:93} INFO - Added amber-202001-0200
[2025-11-14T05:54:24.292+0000] {subprocess.py:93} INFO - Added amber-202001-0201
[2025-11-14T05:54:24.293+0000] {subprocess.py:93} INFO - Added amber-202001-0158
[2025-11-14T05:54:24.294+0000] {subprocess.py:93} INFO - Added amber-202001-0160
[2025-11-14T05:54:24.295+0000] {subprocess.py:93} INFO - Added amber-202001-0163
[2025-11-14T05:54:24.295+0000] {subprocess.py:93} INFO - Added amber-202001-0164
[2025-11-14T05:54:24.296+0000] {subprocess.py:93} INFO - Added amber-202001-0165
[2025-11-14T05:54:24.297+0000] {subprocess.py:93} INFO - Added amber-202001-0166
[2025-11-14T05:54:24.298+0000] {subprocess.py:93} INFO - Added amber-202001-0168
[2025-11-14T05:54:24.298+0000] {subprocess.py:93} INFO - Added amber-202001-0174
[2025-11-14T05:54:24.299+0000] {subprocess.py:93} INFO - Added amber-202001-0197
[2025-11-14T05:54:24.300+0000] {subprocess.py:93} INFO - Added amber-202001-0198
[2025-11-14T05:54:24.300+0000] {subprocess.py:93} INFO - Added amber-202001-0199
[2025-11-14T05:54:24.301+0000] {subprocess.py:93} INFO - Added amber-202001-0161
