[2025-11-13T06:09:34.329+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-11-13T06:10:06.532+0000] {subprocess.py:93} INFO - Added amber-202001-0241
[2025-11-13T06:10:06.532+0000] {subprocess.py:93} INFO - Added amber-202001-0243
[2025-11-13T06:10:06.532+0000] {subprocess.py:93} INFO - Added amber-202001-0245
[2025-11-13T06:10:06.533+0000] {subprocess.py:93} INFO - Added amber-202001-0323
[2025-11-13T06:10:06.533+0000] {subprocess.py:93} INFO - Added amber-202001-0247
[2025-11-13T06:10:06.533+0000] {subprocess.py:93} INFO - Added amber-202001-0251
[2025-11-13T06:10:06.533+0000] {subprocess.py:93} INFO - Added amber-202001-0261
[2025-11-13T06:10:06.533+0000] {subprocess.py:93} INFO - Added amber-202001-0267
[2025-11-13T06:10:06.533+0000] {subprocess.py:93} INFO - Added amber-202001-0250
[2025-11-13T06:10:06.534+0000] {subprocess.py:93} INFO - Added amber-202001-0252
[2025-11-13T06:10:06.534+0000] {subprocess.py:93} INFO - Added amber-202001-0255
[2025-11-13T06:10:06.534+0000] {subprocess.py:93} INFO - Added amber-202001-0256
[2025-11-13T06:10:06.534+0000] {subprocess.py:93} INFO - Added amber-202001-0257
[2025-11-13T06:10:06.534+0000] {subprocess.py:93} INFO - Added amber-202001-0258
[2025-11-13T06:10:06.534+0000] {subprocess.py:93} INFO - Added amber-202001-0259
[2025-11-13T06:10:06.535+0000] {subprocess.py:93} INFO - Added amber-202001-0253
[2025-11-13T06:10:06.535+0000] {subprocess.py:93} INFO - Added amber-202001-0262
[2025-11-13T06:10:06.535+0000] {subprocess.py:93} INFO - Added amber-202001-0264
[2025-11-13T06:10:06.535+0000] {subprocess.py:93} INFO - Added amber-202001-0266
[2025-11-13T06:10:06.535+0000] {subprocess.py:93} INFO - Added amber-202001-0268
[2025-11-13T06:10:06.536+0000] {subprocess.py:93} INFO - Added amber-202001-0269
[2025-11-13T06:10:06.536+0000] {subprocess.py:93} INFO - Added amber-202001-0270
[2025-11-13T06:10:06.537+0000] {subprocess.py:93} INFO - Added amber-202001-0273
[2025-11-13T06:10:06.537+0000] {subprocess.py:93} INFO - Added amber-202001-0275
[2025-11-13T06:10:06.537+0000] {subprocess.py:93} INFO - Added amber-202001-0276
[2025-11-13T06:10:06.537+0000] {subprocess.py:93} INFO - Added amber-202001-0279
[2025-11-13T06:10:06.537+0000] {subprocess.py:93} INFO - Added amber-202001-0280
[2025-11-13T06:10:06.538+0000] {subprocess.py:93} INFO - Added amber-202001-0281
